"student","school","time","female","ses","public","suspension","platform","math"
987,1033,2,0,6,1,0.067,1,61.8
987,1033,3,0,5,1,0.07,1,70.3
1012,245,0,1,6,1,0.009,1,42.2
1012,245,1,1,7,1,0.016,1,45.9
1012,245,2,1,6,1,0.019,1,47.9
1012,245,3,1,3,1,0.047,1,63.1
1019,714,0,1,5,1,0.028,1,41.4
1019,720,1,1,4,1,0.112,1,56.3
1019,720,2,1,5,1,0.119,1,60.7
1019,720,3,1,5,1,0.159,1,59.8
1070,194,0,1,7,1,0.004,0,76.4
1070,282,1,1,7,1,0.035,0,69.1
1070,282,2,1,3,1,0.06,0,71.2
1070,282,3,1,4,1,0.071,0,84.3
1083,1013,0,0,6,1,0.038,0,58.6
1083,1013,1,0,7,1,0.122,0,53.5
1083,1013,2,0,5,1,0.095,0,47.5
1083,1013,3,0,6,1,0.078,0,58.6
1092,212,0,1,5,0,0.003,1,60.3
1092,212,1,1,4,0,0.012,1,71.6
1092,212,2,1,5,0,0.025,1,69
1092,212,3,1,4,0,0.02,1,84.7
1119,315,0,1,5,1,0.003,0,39.4
1119,315,1,1,4,1,0.059,0,41.8
1119,315,2,1,7,1,0.098,0,57.9
1119,315,3,1,7,1,0.033,0,56.7
1132,504,0,0,7,1,0.004,0,51.1
1132,504,1,0,6,1,0.034,0,49.9
1132,504,2,0,4,1,0.022,0,53.9
1132,504,3,0,4,1,0.042,0,67.5
1152,258,0,0,5,0,0.003,1,53.6
1152,258,1,0,7,0,0.035,1,61.9
1152,258,2,0,3,0,0.06,1,70.4
1152,258,3,0,5,0,0.071,1,69.2
1193,147,0,1,6,1,0.002,1,53.9
1193,147,1,1,4,1,0.022,1,71.1
1193,147,2,1,5,1,0.016,1,67.9
1193,147,3,1,4,1,0.015,1,67.8
1234,43,0,0,8,0,0.018,0,47.5
1234,43,1,0,5,0,0.253,0,43.5
1234,43,2,0,4,0,0.264,0,51.5
1234,43,3,0,4,0,0.285,0,52.7
1277,1002,0,1,8,1,0.058,0,41.4
1277,1002,1,1,4,1,0.3,0,44.3
1277,1002,2,1,5,1,0.301,0,53.1
1277,1002,3,1,4,1,0.315,0,65.5
1321,1013,0,1,4,1,0.038,0,45.5
1321,1013,1,1,4,1,0.122,0,43.5
1321,1013,2,1,3,1,0.095,0,41.1
1321,1013,3,1,7,1,0.078,0,61.1
1332,99,0,0,4,0,0.003,1,59.1
1332,106,1,0,6,1,0.108,1,73.5
1332,106,2,0,7,1,0.073,1,77.9
1332,106,3,0,5,1,0.056,1,78.3
1364,963,0,1,5,0,0.155,0,44.2
1364,963,1,1,8,0,0.124,0,42.7
1364,963,2,1,6,0,0.175,0,41.5
1364,963,3,1,6,0,0.218,0,41.4
1377,236,0,1,8,1,0.002,1,67.8
1377,236,1,1,5,1,0.002,1,75.8
1377,239,2,1,4,1,0.021,1,86.8
1377,239,3,1,5,1,0.027,1,89.5
1404,666,0,0,6,1,0.017,0,47.5
1404,666,1,0,4,1,0.141,0,50.7
1404,666,2,0,4,1,0.2,0,45.9
1404,666,3,0,7,1,0.12,0,58.3
1433,76,0,0,4,1,0.006,1,40.7
1433,104,1,0,4,1,0.07,1,48.2
1433,104,2,0,5,1,0.066,1,62.6
1433,104,3,0,6,1,0.042,1,67.5
1466,448,0,1,7,0,0.01,0,51.9
1466,448,1,1,5,0,0.039,0,59.4
1466,448,2,1,6,0,0.539,0,60.7
1466,448,3,1,7,0,0.356,0,58.3
1505,100,0,0,6,0,0.004,1,78.7
1505,104,1,0,3,1,0.07,1,69.1
1505,104,2,0,6,1,0.066,1,76.3
1505,104,3,0,4,1,0.042,1,88.7
1516,212,0,0,6,0,0.003,1,74.7
1516,212,1,0,5,0,0.099,1,71.6
1516,212,2,0,4,0,0.071,1,83.2
1516,212,3,0,3,0,0.1,1,107.1
1526,963,0,0,4,0,0.155,0,3
1526,963,1,0,5,0,0.124,0,34.6
1526,963,2,0,5,0,0.175,0,34.2
1526,963,3,0,4,0,0.218,0,42.7
1547,100,0,1,3,0,0.004,1,60.8
1547,104,1,1,6,1,0.07,1,60.2
1547,104,2,1,5,1,0.066,1,84
1547,104,3,1,3,1,0.042,1,83.1
1571,258,0,1,5,0,0.003,1,40.7
1571,282,1,1,3,1,0.035,0,46.6
1571,282,2,1,3,1,0.06,0,41.1
1571,282,3,1,5,1,0.071,0,55.9
1594,103,0,1,6,1,0.007,0,62.3
1594,103,1,1,6,1,0.061,0,69.9
1594,103,2,1,3,1,0.032,0,76.3
1594,103,3,1,5,1,0.042,0,70.6
1614,258,0,1,5,0,0.003,1,49.9
1614,282,1,1,6,1,0.035,0,63
1614,282,2,1,4,1,0.06,0,74
1614,282,3,1,5,1,0.071,0,80.3
1659,103,0,0,5,1,0.007,0,36.6
1659,103,1,0,4,1,0.061,0,48.2
1659,103,2,0,6,1,0.032,0,52.6
1659,103,3,0,1,1,0.042,0,50.6
1685,690,0,1,3,1,0.028,0,40.7
1685,690,1,1,4,1,0.497,0,51.5
1685,690,2,1,4,1,0.667,0,52.6
1685,690,3,1,5,1,0.825,0,71.1
1694,1045,0,1,5,1,0.012,0,37.1
1694,1045,1,1,5,1,0.052,0,35.4
1694,1045,2,1,4,1,0.045,0,41.5
1694,1045,3,1,5,1,0.052,0,52.7
1712,194,0,1,5,1,0.004,0,37.8
1712,194,1,1,7,1,0.035,0,49.9
